ID,t,d0_s1,impr,warm,comp,valence,statval,statnum,statchar,Itemtype,x1,x2,x3,x4,x5,x6,x7,x8,itemnum,Meanval1,Meanval2
4,10,0,2.13,2.09,1.41,pos15,1,15,CONS3,4,-1,1,-1,0,0,0,0,0,3,6.27,6.36
4,11,0,1.01,2.43,-0.34,neg8,-1,8,INCPS4,6,-1,-1,0,0,0,1,1,1,4,2.67,2.48
4,12,0,0,0,0,neut5,0,5,NS5,9,8,0,0,0,0,0,0,0,5,4.3,4.25
4,13,0,-0.3,0.1,0.5,neg15,-1,15,INCSS3,8,-1,-1,0,0,0,-1,0,0,3,2.49,2.31
4,14,0,3,1.48,0.87,pos13,1,13,CONS1,4,-1,1,-1,0,0,0,0,0,1,5.9,5.94
4,15,0,-1.07,0.59,0.5,neg13,-1,13,INCSS1,8,-1,-1,0,0,0,-1,0,0,1,2.05,1.84
4,16,0,-1.07,0.59,0.35,neg12,-1,12,LIS4,7,-1,-1,0,0,0,1,-1,-1,4,2.79,2.62
4,17,0,2.18,2.43,-0.25,pos16,1,16,CONS4,4,-1,1,-1,0,0,0,0,0,4,5.97,6.07
4,18,0,2.4,2.26,1.07,pos11,1,11,ITS3,3,-1,1,1,-1,-1,0,0,0,3,6.16,6.2
4,19,0,1.98,2.1,0.71,neut4,0,4,NS4,9,8,0,0,0,0,0,0,0,4,4.36,4.36
4,20,0,0.52,0.63,0.71,neg11,-1,11,LIS3,7,-1,-1,0,0,0,1,-1,-1,3,1.9,1.68
4,21,0,0.52,0.63,0.71,neut7,0,7,NS7,9,8,0,0,0,0,0,0,0,7,4.16,4.12
4,22,0,1.49,2.11,0.83,pos4,1,4,KS4,1,-1,1,-1,0,0,0,0,0,4,5.78,5.81
4,23,0,2.01,2.11,0.98,pos8,1,8,COMS4,2,-1,1,1,1,1,0,0,0,4,5.89,5.98
4,24,0,2.14,2.11,0.98,pos7,1,7,COMS3,2,-1,1,1,1,1,0,0,0,3,5.82,5.88
4,25,0,2.14,2.11,1.38,neut8,0,8,NS8,9,8,0,0,0,0,0,0,0,8,4.39,4.33
4,26,0,1.01,1.61,-0.32,neg5,-1,5,INCPS1,6,-1,-1,0,0,0,1,1,1,1,2.52,2.36
4,27,0,1.86,2.26,0.6,pos2,1,2,KS2,1,-1,1,-1,0,0,0,0,0,2,5.89,5.98
4,28,0,1.36,0.72,0.61,pos10,1,10,ITS2,3,-1,1,1,-1,-1,0,0,0,2,6.24,6.31
4,29,0,1.47,2.26,0.76,neg6,-1,6,INCPS2,6,-1,-1,0,0,0,1,1,1,2,2.82,2.64
4,30,0,0.11,0.04,0.58,neg4,-1,4,RS4,5,-1,-1,0,0,0,-1,0,0,4,2.4,2.2
4,31,0,-1.97,-0.96,0.08,neg1,-1,1,RS1,5,-1,-1,0,0,0,-1,0,0,1,1.86,1.63
4,32,0,2.01,2.11,0.98,pos9,1,9,ITS1,3,-1,1,1,-1,-1,0,0,0,1,6.03,6.07
4,33,0,1.65,0.97,1.03,pos5,1,5,COMS1,2,-1,1,1,1,1,0,0,0,1,6.11,6.17
4,34,0,1.65,1.23,0.5,pos14,1,14,CONS2,4,-1,1,-1,0,0,0,0,0,2,6.05,6.16
4,35,0,1.12,1.59,0.48,neg14,-1,14,INCSS2,8,-1,-1,0,0,0,-1,0,0,2,2.49,2.28
4,36,0,2.36,1.59,1.74,pos6,1,6,COMS2,2,-1,1,1,1,1,0,0,0,2,6.1,6.17
4,37,0,0.02,0.03,0,neut1,0,1,NS1,9,8,0,0,0,0,0,0,0,1,4.34,4.25
4,38,0,0.02,0.03,0,neut3,0,3,NS3,9,8,0,0,0,0,0,0,0,3,4.17,4.11
4,39,0,-1.62,0.39,0.16,neg16,-1,16,INCSS4,8,-1,-1,0,0,0,-1,0,0,4,2.33,2.1
4,40,0,1.06,2.62,0.16,pos3,1,3,KS3,1,-1,1,-1,0,0,0,0,0,3,5.71,5.83
5,1,0,3,3,2.05,pos15,1,15,CONS3,4,-1,1,-1,0,0,0,0,0,3,6.27,6.36
5,2,0,-0.52,-0.46,0.06,neg2,-1,2,RS2,5,-1,-1,0,0,0,-1,0,0,2,2.48,2.35
5,3,0,2.08,3,1.01,pos14,1,14,CONS2,4,-1,1,-1,0,0,0,0,0,2,6.05,6.16
5,4,0,3,3,2.05,neut4,0,4,NS4,9,8,0,0,0,0,0,0,0,4,4.36,4.36
5,5,0,2.07,1.48,0,pos3,1,3,KS3,1,-1,1,-1,0,0,0,0,0,3,5.71,5.83
5,6,0,2.07,3,2.08,pos8,1,8,COMS4,2,-1,1,1,1,1,0,0,0,4,5.89,5.98
